Type,Date
Irrig,2026-06-01
Irrig,2026-06-04
Irrig,2026-06-08
Fert,2026-06-09
Irrig,2026-06-11
Irrig,2026-06-15
Irrig,2026-06-18
Irrig,2026-06-22
Irrig,2026-06-25
Irrig,2026-06-29
Irrig,2026-07-02
Irrig,2026-07-06
Fert,2026-07-07
Irrig,2026-07-09
Irrig,2026-07-13
Irrig,2026-07-16
Irrig,2026-07-20
Irrig,2026-07-23
Irrig,2026-07-27
Irrig,2026-07-30
Irrig,2026-08-03
Irrig,2026-08-06
Irrig,2026-08-10
Irrig,2026-08-13
Irrig,2026-08-17
Irrig,2026-08-20
Irrig,2026-08-24
Irrig,2026-08-27
Irrig,2026-08-31
Irrig,2026-09-03
Irrig,2026-09-07
Irrig,2026-09-10
Irrig,2026-09-14
